title,inception,movement,genre,image_url
Judith,1525-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/Palma%20il%20Vecchio%20-%20Judith%20-%20WGA16936.jpg
Die durch Engel bekrönte Muttergottes mit Kind im Kreise der 14 Schutzheiligen des Hauses Zimmern,1536-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/Meister%20von%20Me%C3%9Fkirch-Wildensteiner%20Altar-Mitteltafel-0014.jpg
Der kniende Stifter Graf Gottfried Werner von Zimmern – Christus am Ölberg,1536-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/Meister%20von%20Me%C3%9Fkirch-Wildensteiner%20Altar-Drehfl%C3%BCgel%20links-offen0004.jpg
Die kniende Stifterin Gräfin Apollonia von Henneberg – Christus am Ölberg,1536-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/Meister%20von%20Me%C3%9Fkirch-Wildensteiner%20Altar-Drehfl%C3%BCgel%20rechts-offen0005.jpg
Christi Abschied von seiner Mutter,1536-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/Meister%20von%20Me%C3%9Fkirch-Wildensteiner%20Altar-Standfl%C3%BCgel%20links-rechts-geschlossen-0016-2.jpg
The capture of Christ,1536-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/Meister%20von%20Me%C3%9Fkirch-Wildensteiner%20Altar-Standfl%C3%BCgel%20links-rechts-geschlossen-0016.jpg
Madonna/Virgin and Child with the Infant St John the Baptist.,1500-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/Palmezzano%20Madonna%20and%20Child.jpg
Sant'Orsola in gloria,1520-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/Sant%27Orsola%20in%20gloria%20Previtali.jpg
Portrait of Eleanor of Austria,1530-01-01T00:00:00Z,Renaissance,history painting,http://commons.wikimedia.org/wiki/Special:FilePath/Cleve%20Eleanor%20of%20Austria.jpg
Saint Dominic,1565-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/Dominikus%20von%20Tizian.jpg
